variant,query_type,query_type_index,count,recall_at_k,mrr,ndcg_at_k,context_precision,faithfulness,hallucination_risk,latency_ms,cost_usd
hybrid_dense_hash_k5_rerank,ambiguous,1.0,3.0,0.38888888888888884,0.3333333333333333,0.305858027070595,0.20000000000000004,1.0,0.14,603.1,7.888e-05
hybrid_dense_hash_k5_rerank,cloud_operations,2.0,3.0,1.0,0.8333333333333334,0.8769765845238192,0.20000000000000004,1.0,0.023333333333333355,603.1,8.016e-05
hybrid_dense_hash_k5_rerank,compliance,3.0,10.0,1.0,1.0,1.0,0.2,1.0,0.022750000000000013,603.1,7.8836e-05
hybrid_dense_hash_k5_rerank,cost_latency,4.0,7.0,1.0,0.9285714285714286,0.9472756790816368,0.2285714285714286,1.0,0.0,603.1,7.969142857142857e-05
hybrid_dense_hash_k5_rerank,fact_lookup,5.0,11.0,0.9090909090909091,0.8181818181818182,0.8476687415626116,0.2,0.9966630591630591,0.021790223665223683,603.1,8.01309090909091e-05
hybrid_dense_hash_k5_rerank,multi_hop,6.0,5.0,0.5333333333333333,0.7666666666666667,0.5448967285994659,0.28,1.0,0.09800000000000005,603.1,8.0384e-05
hybrid_dense_hash_k5_rerank,policy_reasoning,7.0,10.0,0.75,0.6833333333333333,0.6764068122572591,0.2,0.9984615384615385,0.05116666666666668,603.1,7.9112e-05
hybrid_dense_hash_k5_rerank,stale_context,8.0,3.0,0.8333333333333334,1.0,0.8710490642551528,0.26666666666666666,1.0,0.023333333333333355,603.1,7.972e-05
hybrid_dense_hash_k5_rerank,vendor_risk,9.0,4.0,1.0,1.0,1.0,0.2,0.9860110408459465,0.009092823450134818,603.1,8.171e-05
hybrid_k5_rerank,ambiguous,1.0,3.0,0.5,0.5,0.4132602240983994,0.26666666666666666,1.0,0.14,587.1,7.696e-05
hybrid_k5_rerank,cloud_operations,2.0,3.0,1.0,0.8333333333333334,0.8769765845238192,0.20000000000000004,1.0,0.023333333333333355,587.1,7.864e-05
hybrid_k5_rerank,compliance,3.0,10.0,1.0,1.0,1.0,0.2,1.0,0.022750000000000013,587.1,7.802e-05
hybrid_k5_rerank,cost_latency,4.0,7.0,1.0,1.0,1.0,0.2285714285714286,0.9976958525345623,0.001497695852534564,587.1,7.780571428571428e-05
hybrid_k5_rerank,fact_lookup,5.0,11.0,0.9090909090909091,0.8181818181818182,0.8438046075798717,0.2,0.9966397849462365,0.0345326246334311,587.1,7.902909090909092e-05
hybrid_k5_rerank,multi_hop,6.0,5.0,0.8,0.8,0.6937467637662114,0.4,1.0,0.09800000000000005,587.1,7.9424e-05
hybrid_k5_rerank,policy_reasoning,7.0,10.0,0.75,0.75,0.7264068122572591,0.2,1.0,0.05016666666666668,587.1,7.811600000000001e-05
hybrid_k5_rerank,stale_context,8.0,3.0,0.8333333333333334,1.0,0.8710490642551528,0.26666666666666666,1.0,0.023333333333333355,587.1,7.784e-05
hybrid_k5_rerank,vendor_risk,9.0,4.0,1.0,1.0,1.0,0.2,0.9860110408459465,0.009092823450134818,587.1,7.907e-05
lexical_k5_rerank,ambiguous,1.0,3.0,0.5,0.5,0.4132602240983994,0.26666666666666666,1.0,0.1166666666666667,457.1000000000001,4.233333333333333e-05
lexical_k5_rerank,cloud_operations,2.0,3.0,1.0,0.8333333333333334,0.8769765845238192,0.20000000000000004,0.9740259740259741,0.04021645021645023,457.1000000000001,4.345333333333333e-05
lexical_k5_rerank,compliance,3.0,10.0,1.0,0.95,0.9630929753571458,0.2,0.9931648403440556,0.020192853776363862,457.1,4.2959999999999995e-05
lexical_k5_rerank,cost_latency,4.0,7.0,1.0,1.0,0.9885315413068839,0.2285714285714286,0.9820871255402706,0.011643368398824119,457.1,4.2680000000000005e-05
lexical_k5_rerank,fact_lookup,5.0,11.0,0.9090909090909091,0.8181818181818182,0.8438046075798717,0.2,0.9872816936151918,0.04061538399861013,457.1,4.335636363636363e-05
lexical_k5_rerank,multi_hop,6.0,5.0,0.8,0.8,0.6937467637662114,0.4,0.9812503156087461,0.12418729485431501,457.1,4.3976e-05
lexical_k5_rerank,policy_reasoning,7.0,10.0,0.75,0.75,0.7264068122572591,0.2,0.9858711033585055,0.05935044948363819,457.1,4.296e-05
lexical_k5_rerank,stale_context,8.0,3.0,0.8333333333333334,1.0,0.8710490642551528,0.26666666666666666,1.0,0.023333333333333355,457.1000000000001,4.2946666666666667e-05
lexical_k5_rerank,vendor_risk,9.0,4.0,1.0,1.0,1.0,0.2,0.9746481588586852,0.016478696741854676,457.1,4.374e-05
